# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Sat Feb 19 10:35:03 IST 2022
#
Overall, L_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,15) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, R_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,15) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.5,23) frames.
Overall, AH0_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,9) frames.
The optional-silence phone SIL occupies 19.8% of frames overall 
Limiting the stats to the 95.6% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 16.1% of frames.
Assuming 100 frames per second, the alignments represent 17.6 hours of data, or 14.1 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 4.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (27,35.4,104)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Feb 19 10:35:03 IST 2022, elapsed time 0 seconds
